no,tango,kana,en,zh,vi
1246,頂,いただき,"Peak, summit",顶、顶端,đỉnh
1247,稲光,いなびかり,Lightning flash,闪电,sét
1248,稲,いね,Rice,稻子,lúa
1249,雨季,うき,Rainy season,雨季,mùa mưa
1250,渦,うず,Whirlpool,漩涡,"xoáy nước, vòng xoáy"
1251,雨天,うてん,Rainy weather,雨天,trời mưa
1252,衛星,えいせい,Satellite,卫星,vệ tinh
1253,液,えき,Liquid,液体,"chất dịch, chất lỏng"
1254,獲物,えもの,Prey,猎物,con mồi
1255,尾,お,Tail,尾巴,cái đuôi
1256,雄,おす,Male,雄性,giống đực
1257,貝殻,かいがら,Shell,贝壳,vỏ sò ốc
1258,海峡,かいきょう,Strait,海峡,eo biển
1259,海抜,かいばつ,(Above) sea level,海拔,độ cao của đất liền tính từ mặt nước biển
1260,海洋,かいよう,"Ocean, sea",海洋,đại dương
1261,回路,かいろ,Circuit,回路、线路,mạch điện
1262,崖,がけ,"Cliff, precipice",崖、悬崖,vách đá
1263,化合,かごう,Compound with,化合、反应,kết hợp (về hóa học)
1264,化石,かせき,Fossil,化石,hóa thạch
1265,河川,かせん,River,河川、河流,sông ngòi
1266,花粉,かふん,Pollen,花粉,phấn hoa
1267,岩石,がんせき,Rock,岩石,đá
1268,干ばつ,かんばつ,Drought,干旱、旱灾,hạn hán
1269,気象,きしょう,Weather,气象,khí tượng
1270,軌道,きどう,Orbit,轨道,quỹ đạo
1271,起伏,きふく,"Undulations, ups and down",起伏,sự gồ ghề
1272,菌,きん,"Fungus, bacteria",菌,vi khuẩn
1273,屈折,くっせつ,Refract,折射,khúc xạ
1274,結晶,けっしょう,Crystallize,结晶,kết tinh
1275,獣,けもの,Beast,野兽,dã thú
1276,元素,げんそ,Element,元素,nguyên tố
1277,合成,ごうせい,"Synthesize, compose",合成,tổng hợp
1278,鉱物,こうぶつ,Mineral,矿物,khoáng sản
1279,細菌,さいきん,Bacteria,细菌,vi khuẩn
1280,細胞,さいぼう,Cell,细胞,tế bào
1281,酸,さん,Acid,酸,axit
1282,山岳,さんがく,Mountain,山岳、险峻的山,núi non
1283,山頂,さんちょう,Summit,山顶,đỉnh núi
1284,飼育,しいく,"Keep, rear",饲养,nuôi (súc vật)
1285,潮,しお,Tide,潮水、潮汐,thủy triều
1286,磁気,じき,Magnetism,磁力、磁性,từ tính
1287,滴,しずく,Drop,滴、水滴,giọt
1288,斜面,しゃめん,Slope,斜面,con dốc
1289,種,しゅ,Species,种、物种,loài
1290,樹木,じゅもく,Tree,树木,cây cối
1291,水滴,すいてき,Drop of water,水滴,giọt nước
1292,制御,せいぎょ,"Control, regulate",控制、调节,kiểm soát
1293,生息,せいそく,"Live in, inhabit",生活、生息,cư trú
1294,生理,せいり,Physiology,生理（现象）,sinh lý
1295,絶滅,ぜつめつ,Go extinct,灭绝,tuyệt chủng
1296,地質,ちしつ,Geology,地质,địa chất
1297,角,つの,Horn,角,sừng
1298,つぼみ,,Bud,花苞、花蕾,nụ
1299,露,つゆ,Dew,露水,sương
1300,テクノロジー,,Technology,科学技术,công nghệ
1301,天体,てんたい,Heavenly body,天体,thiên thể
1302,峠,とうげ,"Mountain pass / Peak, critical point",山口、岭；关键、难关,đỉnh đèo / phần gay go nhất
1303,冬眠,とうみん,Hibernate,冬眠,ngủ đông
1304,動力,どうりょく,"Motive power, driving force",动力,lực chạy (dùng cho máy móc)
1305,土壌,どじょう,Soil,土壤,đất
1306,土手,どて,Embankment,堤、堤坝,"bờ kè, bờ đê"
1307,内陸,ないりく,Inland,内陆,bên trong lục địa
1308,雪崩,なだれ,Avalanche,雪崩,tuyết lở
1309,鉛,なまり,Lead,铅,chì
1310,西日,にしび,Westering sun,夕阳、西晒阳光,nắng chiều
1311,燃焼,ねんしょう,Burn,燃烧,cháy
1312,年輪,ねんりん,Tree ring,年轮,vòng tuổi (của cây)
1313,バイオ（バイオテクノロジー）,,"Bio-, biotechnology",生命工程、生物技术,công nghệ sinh học
1314,浜辺,はまべ,Beach,海滨,bãi biển
1315,原っぱ,はらっぱ,Patch of grassland,（杂草丛生的）空地,cánh đồng
1316,反射,はんしゃ,Reflect,反射,"phản xạ, phản chiếu"
1317,繁殖,はんしょく,"Breed, proliferate",繁殖,"sinh sôi, nảy nở"
1318,反動,はんどう,Reaction,反作用；反动,sự nảy lại / tác dụng ngược
1319,日陰,ひかげ,Shade,阴凉处、背阴处,bóng râm
1320,比重,ひじゅう,Specific gravity / Weighting,比重；分量,trọng lượng riêng / độ quan trọng
1321,微生物,びせいぶつ,Microorganism,微生物,vi sinh vật
1322,ひなた,,Sunny spot,向阳处,chỗ nắng
1323,品種,ひんしゅ,"Breed, strain",品种、种类,chủng loại
1324,風土,ふうど,Culture,水土、风土,phong thổ
1325,麓,ふもと,Foothill,山麓、山脚,chân núi
1326,噴出,ふんしゅつ,"Spout, gush",喷出、喷射,"phun ra, bốc lên"
1327,膨張,ぼうちょう,Expand,膨胀,"nở ra, phồng lên"
1328,ほとり,,"Shore, bank",畔、边,"bờ (sông, hồ)"
1329,盆地,ぼんち,Basin,盆地,"lòng chảo, bồn địa"
1330,岬,みさき,"Cape, promontory",海角、岬,mũi đất
1331,水け,みずけ,"Moisture, wet",水分,"độ ẩm, nước"
1332,雌,めす,Female,雌性,giống cái
1333,野生,やせい,Wild,野生,hoang dã
1334,溶液,ようえき,Solution,溶液,dung dịch
1335,溶岩,ようがん,Lava,熔岩、岩浆,dung nham
1336,流域,りゅういき,(River) basin,流域,lưu vực
1337,惑星,わくせい,Planet,行星,hành tinh
1338,アレンジ,,Arrange,改编,"phối âm, chuyển thể"
1339,アンコール,,Encore,（要求）重演、再来一次,biểu diễn thêm lần nữa
1340,遺跡,いせき,"Remains, ruins",遗迹、遗址,tàn tích
1341,映像,えいぞう,"Picture, image",画面,hình ảnh (động)
1342,英雄,えいゆう,Hero,英雄,anh hùng
1343,エッセー／エッセイ,,Essay,随笔,tiểu luận
1344,演出,えんしゅつ,"Produce, direct",导演,đạo diễn
1345,オペラ,,Opera,歌剧,opera
1346,観衆,かんしゅう,Audience,观众,khán giả
1347,喜劇,きげき,Comedy,喜剧,hài kịch
1348,逆転,ぎゃくてん,Come from behind,逆转,đảo ngược
1349,宮殿,きゅうでん,Palace,宫殿,cung điện
1350,芸能,げいのう,"Entertainment, performing art",表演艺术,nghệ thuật biểu diễn
1351,傑作,けっさく,Masterpiece,杰作,kiệt tác
1352,原作,げんさく,Original work,原著,nguyên tác
1353,工芸,こうげい,Crafts,工艺,thủ công
1354,古典,こてん,"Ancient work, classic",古典,cổ điển
1355,細工,さいく,Finely work,（做）手工艺、工艺,chế tác
1356,作,さく,"Work, fruit",作品、作,tác phẩm
1357,サポーター,,Supporter,支持者、后援者,cổ động viên
1358,参拝,さんぱい,Go to worship,参拜,"viếng (đền Thần đạo, chùa)"
1359,色彩,しきさい,Color,色彩、色,màu sắc
1360,シナリオ,,Scenario,脚本、剧本,kịch bản
1361,ジャンル,,Genre,类型、种类,thể loại
1362,主演,しゅえん,Take the lead role,主演,đóng vai chính
1363,出品,しゅっぴん,"Exhibit, show",展出、展销,"gửi bài, gửi tác phẩm"
1364,守備,しゅび,Defense,守卫,sự phòng thủ
1365,上演,じょうえん,"Stage, perform",公演、上演,diễn trên sân khấu
1366,神殿,しんでん,"Temple, shrine",神殿,đền thờ
1367,僧,そう,Monk,僧侣,nhà sư
1368,魂,たましい,Soul,灵魂,linh hồn
1369,彫刻,ちょうこく,"Sculpture, carving",雕刻,tượng điêu khắc
1370,庭園,ていえん,Garden,庭院,khu vườn
1371,伝記,でんき,Biography,传记,tiểu sử
1372,伝説,でんせつ,Legend,传说,truyền thuyết
1373,童話,どうわ,Children’s stories,童话,truyện đồng thoại
1374,ドキュメンタリー,,Documentary,纪实、纪录,phim tài liệu
1375,音色,ねいろ,"Timbre, tone",音色,âm sắc
1376,ノンフィクション,,Non-fiction,非虚构作品,chuyện thật
1377,美,び,Beauty,美,cái đẹp
1378,描写,びょうしゃ,Describe,描写,miêu tả
1379,フィクション,,Fiction,虚构（作品）,chuyện hư cấu
1380,風習,ふうしゅう,Custom,风俗,phong tục
1381,風俗,ふうぞく,Manners and customs,风俗、风情习俗,nếp sống
1382,仏像,ぶつぞう,Buddhist statue,佛像,tượng Phật
1383,文化財,ぶんかざい,Cultural asset,文化财产、文化遗产,di sản văn hóa
1384,みこし,,Portable shrine,神轿,kiệu
1385,民俗,みんぞく,Folkways,民俗,phong tục dân gian
1386,役者,やくしゃ,Actor,演员,nghệ sĩ kịch
1387,横綱,よこづな,Yokozuna (grand sumo champion),横纲（相扑力士的最高等级）,Yokozuna (cấp bậc cao nhất trong môn sumo)
1388,合間,あいま,Interval,间歇、间隙,khoảng thời gian ngắn giữa hai sự việc
1389,明け方,あけがた,"Dawn, break of day",天亮、拂晓,rạng đông
1390,値,あたい,Value,数值、值,trị số
1391,一昨年,いっさくねん,The year before  last,前年,năm kia
1392,一帯,いったい,"Area, tract",一带、附近的整个地区,"cả vùng, cả khu vực"
1393,奥行き,おくゆき,Depth,进深、纵深,chiều sâu
1394,折,おり,"Occasion, time (when)",时候、当儿,"dịp, lúc"
1395,角,かく,Square,方块,khối vuông
1396,傍ら,かたわら,Beside,旁边,bên cạnh
1397,かなた,,Far off,远处,"phía xa, bên kia"
1398,間隔,かんかく,Interval,间隔,cách quãng
1399,換算,かんさん,Convert,换算,chuyển đổi
1400,元年,がんねん,First year (in traditional year numbering system),元年,năm đầu tiên (của một thời đại)
1401,近郊,きんこう,Suburbs,市郊、郊区,"vùng phụ cận, ngoại ô"
1402,均衡,きんこう,"Balance, equilibrium",均衡、平衡,sự cân bằng
1403,近年,きんねん,Recent years,近年,những năm gần đây
1404,空間,くうかん,Space,空间,không gian
1405,傾斜,けいしゃ,"Slope, incline",倾斜、倾斜度,nghiêng
1406,系列,けいれつ,Corporate group,系列、体系,nhóm các doanh nghiệp liên kết
1407,後方,こうほう,Back,后方、后面,phía sau
1408,誤差,ごさ,Error,误差,phạm vi sai số
1409,古代,こだい,Ancient times,古代,cổ đại
1410,最小限,さいしょうげん,Minimum,最低限度,mức tối thiểu
1411,さきおととい,,Three days previously,大前天,3 ngày trước
1412,さなか,,In the midst of,正当中、最盛期,ngay giữa
1413,しあさって,,In three days,大后天,ngày kia (3 ngày sau tính từ hiện tại)
1414,事前,じぜん,"Advance, preliminary",事前,trước (việc được đề cập)
1415,時点,じてん,Point in time,时候、时刻,thời điểm
1416,周期,しゅうき,"Cycle, period",周期,chu kỳ
1417,上位,じょうい,The top-ranking (in a list),上位、更高位,thứ hạng cao
1418,上空,じょうくう,"Sky, skies above, mid-air",上空,khoảng không phía trên
1419,数値,すうち,"Numerical value, reading",数值,chỉ số
1420,隙,すき,"Gap, chance, unguarded moment",空隙、疏忽,"sơ hở, sự lơ là, thời cơ"
1421,セクション,,Section,部门、科,bộ phận (của tổ chức)
1422,前年,ぜんねん,"Previous year, last year",前一年,năm trước
1423,早朝,そうちょう,Early morning,清晨、清早,sáng sớm
1424,側面,そくめん,Side,侧面,mặt bên
1425,そろい,,Matching,同一款式,đồng bộ
1426,対称,たいしょう,symmetry,对称,đối xứng
1427,他方,たほう,On the other hand,另一方面、别的方面,mặt khác
1428,頂点,ちょうてん,"Summit, peak",顶尖、顶端；顶点、极限,đỉnh
1429,重複,ちょうふく／じゅうふく,Be duplicated,重复,trùng lặp
1430,対,つい,Pair,成对,một cặp
1431,つかの間,つかのま,For a short while,转瞬间、短暂,một khoảnh khắc / sự ngắn ngủi
1432,てっぺん,,Top,顶,"đỉnh, điểm cao nhất"
1433,度合い,どあい,"Degree, rate",程度,mức độ
1434,等級,とうきゅう,Grade,等级,"cấp bậc, thứ hạng"
1435,当初,とうしょ,"Initially, at the beginning",当初、最初,ban đầu
1436,トータル,,Total,总计、合计,tổng cộng
1437,並,なみ,"Average, ordinary",普通、平常,"trung bình, bình thường"
1438,延べ,のべ,Total,总计,tổng cộng
1439,背後,はいご,Behind,背后,sau lưng
1440,倍率,ばいりつ,Magnification,倍率,độ phóng đại
1441,果て,はて,End,终了、尽头,"sự chấm dứt, sự kết thúc"
1442,バロメーター,,Barometer,标准、指针,"phong vũ biểu, thước đo"
1443,びり,,"Worst, last",倒数第一、最后一名,"cuối, chót"
1444,比率,ひりつ,Ratio,比率、比例,tỉ lệ
1445,平年,へいねん,Normal year,常年、普通的年份,thường niên
1446,ペース,,Pace,速度,nhịp độ
1447,冒頭,ぼうとう,Beginning,开头、起首,phần mở đầu
1448,ほうぼう,,"Here and there, everywhere",到处,"khắp nơi, mọi hướng"
1449,間際,まぎわ,"Just before, at short notice",正要……的时候,ngay trước lúc
1450,末期,まっき,"Late stage, final years",末期,giai đoạn cuối
1451,末端,まったん,"End, extremity",末端,đầu mút
1452,密度,みつど,Density,密度,mật độ
1453,未明,みめい,Just before dawn,黎明、凌晨,tờ mờ sáng
1454,目盛り,めもり,Scale,刻度、度数,vạch chia
1455,目前,もくぜん,At hand,（近在）眼前,gần xảy ra
1456,目下,もっか,At the moment,眼下,"ngay lúc này, hiện tại"
1457,夕暮れ,ゆうぐれ,Dusk,傍晚、日暮,hoàng hôn
1458,夜更け,よふけ,Late at night,深夜,đêm khuya
1459,領域,りょういき,Field,领域,"lĩnh vực, địa hạt"
1460,連日,れんじつ,"Spell, string of days",连日,liên tiếp nhiều ngày
1461,枠,わく,"Frame, framework",框、框子；范围,khung / giới hạn
1462,相次ぐ,あいつぐ,Follow in succession,相继、接连不断,nối tiếp nhau
1463,仰ぐ,あおぐ,Look up,仰望、抬头看,ngước nhìn
1464,明かす,あかす,Reveal / Pass,泄露；通宵达旦,tiết lộ / qua đêm
1465,欺く,あざむく,Deceive,欺骗、蒙骗,đánh lừa
1466,あせる,,Fade,褪色,phai nhạt
1467,値する,あたいする,"Deserve, be worth",值得、有价值,xứng đáng
1468,操る,あやつる,"Manipulate, control",掌握、熟练运用；操纵,sử dụng thành thạo / thao túng
1469,誤る,あやまる,Make a mistake,弄错、误,mắc sai lầm
1470,歩む,あゆむ,Walk,走过、经历,sống cuộc đời
1471,荒らす,あらす,Devastate,糟蹋、破坏,phá hoại
1472,改まる,あらたまる,Change,变好；客气、正式,được sửa đổi / có thái độ trang trọng
1473,ありふれる,,Be commonplace,常有、到处都有,"phổ biến, đâu cũng có"
1474,言い付ける,いいつける,"Tell, order",吩咐、命令；告状、告发,chỉ thị / kể tội
1475,意気込む,いきごむ,Be enthusiastic,意气风发、干劲十足,"nhiệt tình, quyết tâm"
1476,いじる,,Mess (around) with,摆弄、动,sờ mó
1477,傷める,いためる,Damage,弄伤、损坏,làm hư hỏng
1478,営む,いとなむ,"Organize, run, lead (a life)",营（生）；经营,sống / điều hành
1479,挑む,いどむ,Take on a challenge,挑战,thách thức
1480,癒す,いやす,"Heal, comfort",治愈,"chữa lành, xoa dịu"
1481,いらだつ,,Get irritated,急躁、焦躁,sốt ruột
1482,受け継ぐ,うけつぐ,"Inherit, carry on",继承、承受,kế thừa
1483,受け止める,うけとめる,Accept,接受、理解,tiếp thu
1484,薄れる,うすれる,Fade,变弱、变淡薄,nhạt dần
1485,打ち明ける,うちあける,Confide,坦白,kể ra
1486,打ち上げる,うちあげる,Launch,发射,phóng lên
1487,打ち切る,うちきる,Discontinue,中止、停止,ngưng
1488,打ち込む,うちこむ,"Drive in, apply yourself",砸进、打进；埋头、全神贯注,"đánh vào, đóng vào / tập trung"
1489,促す,うながす,"Prompt, urge",催促,thúc giục
1490,うなる,,Growl,吼、嗥,gầm gừ
1491,うぬぼれる,,Be conceited,自负、自我陶醉,tự phụ
1492,埋まる,うまる,Be buried,埋着、掩埋,"bị chôn, bị lấp"
1493,敬う,うやまう,"Honor, respect",尊敬、尊重,tôn kính
1494,潤う,うるおう,"Moisten, enrich",湿润、滋润；富裕,"được làm ẩm, ướt / được lợi"
1495,うろつく,,"Wander, loiter",徘徊、彷徨,"đi loanh quanh, thơ thẩn, lảng vảng"
1496,うんざりする,,Be sick of,彻底厌倦、厌烦,ngán
1497,演じる/演ずる,えんじる/えんずる,"Play, take the role of",演、饰演,đóng vai
1498,追い込む,おいこむ,Drive (into),赶进、撵入,dồn đuổi
1499,老いる,おいる,"Age, grow old",衰老、上年纪,già đi
1500,負う,おう,"Carry (on your back), shoulder",背、负；承担（义务、责任等）、担负,mang vác / gánh vác
1501,犯す,おかす,Commit (a crime),犯,phạm (tội)
1502,侵す,おかす,"Invade, encroach",侵入、侵犯；侵害、侵权,xâm phạm
1503,遅らせる/遅らす,おくらせる/おくらす,"Delay, put off",延迟、推迟,"dời lại, làm trễ đi"
1504,怠る,おこたる,Neglect,疏忽,trễ nải
1505,抑える,おさえる,Suppress,压制、压住,đè nén
1506,押し切る,おしきる,"Overcome, break down barrier",不顾、坚持到底,"vượt qua, bất chấp"
1507,押し込む,おしこむ,Cram into,塞进、硬塞,"dồn, nhét vào"
1508,押し付ける,おしつける,"Press on, foist",强加、硬推,ép làm
1509,惜しむ,おしむ,Regret,可惜、惋惜,tiếc nuối
1510,押し寄せる,おしよせる,Surge,蜂拥而至,"kéo đến, dồn đến"
1511,襲う,おそう,Attack,袭击,tấn công
1512,陥る,おちいる,"Fall, sink",陷入,rơi vào
1513,落ち込む,おちこむ,"Fall, slump",下降；低落、消沉,giảm sút / buồn chán
1514,脅す,おどす,Threaten,恐吓、威胁,đe dọa (làm đối phương sợ)
1515,衰える,おとろえる,Wane,衰退,"yếu đi, giảm đi"
1516,おびえる,,Be frightened,害怕、恐惧,sợ hãi
1517,脅かす,おびやかす,"Threaten, jeopardize",威胁,đe dọa (gây ra tình trạng nguy hiểm)
1518,帯びる,おびる,"Take on, assume",含有、带有,có tính chất
1519,思い当たる,おもいあたる,Call to mind,想到、想出,đoán ra
1520,重んじる/重んずる,おもんじる/おもんずる,"Respect, value",注重、重视,xem trọng
1521,及ぶ,およぶ,"Affect, reach",波及,đến phạm vi
1522,折り返す,おりかえす,"Turn back, double back",折回、折返,quay đầu
1523,織る,おる,Weave,织,dệt
1524,害する,がいする,Harm,危害,gây hại
1525,省みる,かえりみる,Reflect on,反省、反思,nghĩ lại
1526,掲げる,かかげる,Raise / Set (goal),悬挂、高举；提出,giương lên / trưng ra
1527,関わる,かかわる,"Be involved with, touch on",有关系,liên quan đến
1528,かき回す,かきまわす,Stir,搅拌,khuấy
1529,欠く,かく,Lack,欠缺,thiếu sót
1530,賭ける,かける,Bet,赌,đặt cược
1531,駆ける,かける,Run,跑、奔跑,"chạy nhanh, chạy vụt"
1532,かさばる,,Be bulky,体积大,cồng kềnh
1533,かすむ,,"Be faint, be hazy",朦胧,mờ ảo
1534,稼ぐ,かせぐ,Earn,挣（钱）,kiếm (tiền)
1535,かばう,,"Cover, protect",庇护、维护,"bênh vực, che chở"
1536,かぶれる,,Come out in a rash,皮肤红肿,nổi mẩn đỏ
1537,からかう,,Tease,开玩笑、戏弄,chọc ghẹo
1538,絡む,からむ,"Involve, entwine",缠住、缠上；密切相关、牵涉,bị rối / liên quan mật thiết
1539,刈る,かる,Mow,割,"cắt, tỉa"
1540,交わす,かわす,Exchange,互相交换,trao đổi
1541,築く,きずく,Build,修筑、修建；建立,xây dựng
1542,傷つく,きずつく,Get hurt,受伤、负伤；（精神上）受创伤,bị tổn thương
1543,競う,きそう,Compete,竞赛、比赛,cạnh tranh
1544,鍛える,きたえる,"Train, hone",锻炼,rèn luyện
1545,気遣う,きづかう,Worry about,担心、挂念,lo lắng
1546,興じる/興ずる,きょうじる/きょうずる,Amuse yourself,感兴趣、玩在兴头上,"thích thú, hứng thú"
1547,ぎょっとする,,Be startled,大吃一惊、吓一跳,kinh sợ
1548,切り替える,きりかえる,Switch over,换、切换,"thay đổi, chuyển đổi, thay thế"
1549,食い違う,くいちがう,Disagree,有分歧、不一致,mâu thuẫn
1550,悔いる,くいる,Regret,懊悔、后悔,hối hận
1551,くぐる,,"Go through, go under",穿过、钻过,chui qua
1552,下す,くだす,"Issue, hand down",下达、决断,"hạ xuống, đưa ra"
1553,口ずさむ,くちずさむ,"Sing to oneself, hum",随口、哼唱,ngân nga
1554,覆す,くつがえす,Overturn,推翻、彻底改变,lật ngược
1555,くつろぐ,,Feel relaxed,放松,thư giãn
1556,くむ,,Scoop,舀、汲,múc lên
1557,悔やむ,くやむ,Regret,后悔,hối tiếc
1558,企てる,くわだてる,Plan,图谋、企图,"âm mưu, có ý định"
1559,汚す,けがす,"Sully, pollute",玷污、损害,làm ô danh
1560,蹴飛ばす,けとばす,Kick,踢飞、踢,đá tung
1561,心掛ける,こころがける,Take care to,留心、注意,"lưu tâm, lưu ý, nỗ lực"
1562,志す,こころざす,Aim to,志愿、立志,quyết chí
1563,試みる,こころみる,Try,尝试,"thử, thí điểm"
1564,こじれる,,Get complicated,不顺利、事态恶化,"gặp trục trặc, trở nên rắc rối"
1565,応える,こたえる,Respond,响应、反应,đáp ứng
1566,こだわる,,Be particular,拘泥、介意；追求、讲究,lo lắng quá mức / chú trọng
1567,こなす,,Handle,做好、处理好,làm tốt
1568,拒む,こばむ,Refuse,拒绝,từ chối
1569,ごまかす,,Misrepresent,隐瞒、糊弄,lừa dối
1570,凝らす,こらす,"Be inventive, elaborate",凝、讲究,tập trung vào
1571,凝る,こる,Stiffen / Devote yourself,肌肉僵硬；入迷、热衷,bị cứng lại / say mê
1572,遮る,さえぎる,"Interrupt, block",遮挡、遮蔽；干扰、打断,che chắn / cắt ngang
1573,さえる,,Be clear / Be wakeful,（头脑）清晰、敏锐；精神兴奋,nhanh nhạy / tỉnh táo
1574,さかのぼる,,Go upstream / Go back to,逆流而上；追溯、回溯,đi ngược dòng
1575,裂ける,さける,Tear,裂开,rách
1576,ささげる,,"Dedicate, offer",献上、敬奉；献出、奉献,dâng (lên thần linh) / cống hiến
1577,差し支える,さしつかえる,"Hinder, hamper",妨碍、影响,gây cản trở
1578,差し引く,さしひく,"Subtract, deduct",扣除、减去,trừ ra
1579,授ける,さずける,Give,授予、赐予,"tặng thưởng, ban thưởng"
1580,さする,,Rub,轻抚、摩挲,chà
1581,定める,さだめる,"Determine, set",规定、订立,đặt ra
1582,察する,さっする,Sympathize,体谅、体察,đoán biết
1583,悟る,さとる,"Realize, grasp",领悟；觉察,giác ngộ / nhận thức
1584,裁く,さばく,Judge,审判、裁判,xét xử
1585,妨げる,さまたげる,Obstruct,妨碍、阻碍,cản trở
1586,障る,さわる,"Hamper, hinder",妨碍、危害,gây hại
1587,強いる,しいる,Force,强制、迫使,ép buộc
1588,仕入れる,しいれる,"Stock up, buy in",进货、采购,"thu mua, nhập hàng"
1589,慕う,したう,"Admire, dote on",景仰、敬慕,quấn quýt
1590,親しむ,したしむ,Be fond of,喜欢、爱好,yêu thích
1591,しなびる,,Shrivel,枯萎、蔫,"teo lại, héo úa"
1592,しぼむ,,Wither / Deflate,枯萎、凋谢；瘪、松弛软缩,úa tàn / bị xẹp
1593,染みる,しみる,Stain / Sting,渗、浸；刺痛,"thấm ướt / buốt, xót"
1594,熟す,じゅくす,"Ripen, mature",熟透、成熟,(trái cây) chín
1595,準じる/準ずる,じゅんじる/じゅんずる,Conform to,按照、依照,theo chuẩn
1596,称する,しょうする,Call,称、称呼,"gọi là, tự xưng là"
1597,退く,しりぞく,Retreat / Retire,倒退、退；退位、辞职,lùi lại / từ chức
1598,退ける,しりぞける,Reject,拒绝、排斥,bác bỏ
1599,記す,しるす,Write down,写下来、写,ghi chép
1600,据え付ける,すえつける,Install,安装,"gắn vào, lắp đặt"
1601,すすぐ/ゆすぐ,,Rinse,冲洗、漂洗,"xả sạch, rửa sạch"
1602,廃れる,すたれる,"Go out of use, go out of fashion",不再流行、不受欢迎,"lỗi thời, suy yếu"
1603,擦る,する,Rub,擦、划,đánh (diêm)
1604,擦れる,すれる,Wear down,磨、摩擦,"trầy xước, mòn vì cọ xát"
1605,制する,せいする,"Control, keep in check",压制、控制,chặn đứng
1606,せかす,,"Rush, hurry somebody",催、催促,thúc giục
1607,損なう,そこなう,Damage,损害、损伤,gây tổn hại
1608,備わる,そなわる,Be equipped with,设有、备有,được trang bị
1609,そびえる,,"Rise, soar",耸立、矗立,vươn cao
1610,背く,そむく,Disobey,违背,làm ngược lại
1611,反る,そる,"Curve, warp",弯曲、翘曲,cong lại
1612,それる,,"Veer, swerve",偏离,chệch hướng
1613,題する,だいする,Title,题为、名为,có tựa đề
1614,絶える,たえる,"Tail off, come to an end",断绝,"ngưng, kết thúc"
1615,耐える,たえる,"Endure, undergo",忍耐、忍受,chịu đựng
1616,高まる,たかまる,"Increase, grow",高涨、增高,"trở nên cao hơn, được nâng cao"
1617,耕す,たがやす,Plow,耕作,"cày xới, canh tác"
1618,託する/託す,たくする/たくす,"Commit, entrust",托付、拜托,ủy thác
1619,携える,たずさえる,"Carry, bear",携带,cầm đi theo
1620,携わる,たずさわる,Engage in,参与、从事,tham gia vào
1621,漂う,ただよう,"Drift, float",漂浮、飘荡,trôi nổi
1622,立ち去る,たちさる,Leave,离开、起身离去,rời đi
1623,立ち向かう,たちむかう,"Confront, face",抗击、抵抗,chống lại
1624,立ち寄る,たちよる,Stop by,顺便到、顺路去,"ghé qua, ghé vào"
1625,断つ,たつ,Cut off,截断、切断,cắt đứt (vật)
1626,絶つ,たつ,"Cut off, give up",断送、断绝,kết thúc
1627,脱する,だっする,Get out of,脱离,thoát khỏi
1628,尊 （貴）ぶ,たっとぶ/とうとぶ,"Respect, value",尊重、珍视,"tôn trọng, quý trọng"
1629,たどり着く,たどりつく,Finally arrive,好不容易走到,"đến được, có được"
1630,束ねる,たばねる,Bundle,捆、扎,"buộc, bó lại"
1631,ためらう,,Hesitate,犹豫、踌躇,"do dự, lưỡng lự"
1632,たるむ,,"Slacken, sag",松弛；松懈,"bị giãn, bị xệ / lơi lỏng"
1633,垂れる,たれる,"Drip, dangle",下垂,thòng xuống
1634,縮まる,ちぢまる,Shrink,缩小,"co lại, thu lại"
1635,ちらつく,,"Flicker, flutter",闪烁恍惚、忽明忽暗；纷飞、飘舞,"nhấp nháy, chập chờn / lất phất"
1636,散らばる,ちらばる,Scatter,散乱、凌乱,"vương vãi, tứ tán"
1637,費やす,ついやす,"Spend, take",消耗、花费,tiêu tốn
1638,使い分ける,つかいわける,Have separate uses for,区别使用,phân biệt để dùng đúng
1639,尽きる,つきる,Run out,用尽、耗尽,cạn đi do sử dụng
1640,継ぐ,つぐ,Succeed to,继承,kế thừa
1641,償う,つぐなう,Compensate,赔偿、补偿,bồi thường
1642,告げる,つげる,Tell,告诉,thông báo
1643,つつく,,"Peck, pick at",啄、戳,"mổ vào (bằng mỏ), gõ vào (bằng đầu ngón tay)"
1644,慎む,つつしむ,Be discreet about,谨慎、注意,cẩn trọng
1645,つねる,,Pinch,掐、捏,nhéo
1646,募る,つのる,"Recruit, gather / Intensify",招募、募集；越来越严重、强烈,"tuyển người, gây quỹ / trở nên nặng hơn"
1647,つぶやく,,Mutter,嘟囔、嘀咕,lẩm bẩm
1648,つまむ,,"Pick at, taste",捏、搛（用手或筷子取食）,nhúm lấy một ít
1649,摘む,つむ,Pick,摘、采,"hái, bứt"
1650,貫く,つらぬく,"Pierce / Be consistent, stick to",贯穿、穿过；贯彻、坚持到底,xuyên qua / làm xong từ đầu chí cuối
1651,連ねる,つらねる,Align,排成行、排列,xếp thành hàng
1652,徹する,てっする,"Devote yourself to, do (something) thoroughly",贯彻、彻底做到,toàn tâm
1653,照れる,てれる,Be shy,害羞,"xấu hổ, ngượng ngùng"
1654,転じる/転ずる,てんじる/てんずる,"Turn, change",转、转变,chuyển
1655,問う,とう,"Ask, question",问、询问；当作问题、考查,hỏi / truy cứu
1656,遠ざかる,とおざかる,Move away,远去、远离,"rời xa, xa lánh"
